school.name,2015.cost.avg_net_price.overall,2015.student.undergrads_with_pell_grant_or_federal_student_loan
Carnegie Mellon University,34857.0,5888
Duquesne University,27412.0,5995
University of Memphis,13353.0,17071
Middle Tennessee State University,11381.0,20262
East Tennessee State University,15245.0,11550
Pellissippi State Community College,7574.0,10273
Texas A & M University-Corpus Christi,14361.0,9380
Tennessee Technological University,13962.0,10314
Angelo State University,14244.0,5425
Amarillo College,4799.0,10336
The University of Tennessee-Martin,7732.0,6677
Eastfield College,4114.0,15112
El Centro College,4495.0,10549
Cedar Valley College,4920.0,6759
University of the Incarnate Word,20821.0,6496
Texas A & M International University,9087.0,6741
Northwest Vista College,6411.0,15797
Kennesaw State University,17675.0,29552
Moreno Valley College,7252.0,8731
Independence University,27614.0,4241
Ultimate Medical Academy-Tampa,23172.0,20645
Arizona State University-Downtown Phoenix,12135.0,9150
California State University-Channel Islands,13371.0,5677
Florida Gulf Coast University,16108.0,13345
South Plains College,5494.0,9661
The University of Texas Rio Grande Valley,4250.0,17858
San Jacinto Community College,7909.0,27911
Tarleton State University,15364.0,10217
McLennan Community College,6253.0,8294
St Philip's College,6120.0,10514
Richland College,3438.0,19343
North Lake College,4485.0,10744
University of Wisconsin Colleges,8951.0,14045
Georgia State University-Perimeter College,6571.0,21371
Milwaukee Area Technical College,9532.0,16712
Palo Alto College,6195.0,8376
Eastern Washington University,13145.0,12411
Central Washington University,15170.0,10964
Green River College,9588.0,7915
University of Wisconsin-Madison,19378.0,30694
University of Wisconsin-Whitewater,14107.0,10988
University of Wisconsin-Stout,15648.0,8279
Universidad del Este,9325.0,12198
University of Puerto Rico-Rio Piedras,3171.0,12362
Stanford University,13857.0,7018
Gateway Technical College,9365.0,7410
Universidad Metropolitana,9639.0,11529
Paradise Valley Community College,7246.0,8909
St Charles Community College,3383.0,7151
NorthWest Arkansas Community College,6824.0,8098
Pennsylvania College of Technology,23431.0,5623
Christopher Newport University,22618.0,5096
Virginia Polytechnic Institute and State University,20172.0,24247
Weatherford College,6563.0,5613
College of William and Mary,18300.0,6299
Northern Virginia Community College,9565.0,51487
Washington State University,17878.0,23867
University of Utah,13969.0,23895
Blinn College,11957.0,19479
The University of Texas at Arlington,14059.0,29883
The University of Texas at El Paso,6638.0,19817
Texas State University,14676.0,32177
Dixie State University,10703.0,8570
ECPI University,19286.0,10888
Estrella Mountain Community College,7458.0,9164
South Texas College,1745.0,30180
